# Different H0. 1) Concordance H0=67.8 OmegaM = 0.308, 2) Concordance H0=65.0 OmegaM = 0.308, 3) Concordance H0=75.0 OmegaM = 0.308
trigger,name,number,z,t90,detector,LATburst,flux,flux_err_low,flux_err_up,fluence,fluence_err_low,fluence_err_up,DL1,DL2,DL3,eiso1,eiso1_err_low,eiso1_err_up,eiso1_err,eiso2,eiso2_err_low,eiso2_err_up,eiso2_err,eiso3,eiso3_err_low,eiso3_err_up,eiso3_err
bn100814160,100814A,35,1.44,150.528,G,N,1.53432467763e-07,1.3544406525e-07,1.71420870276e-07,2.30958825075e-05,2.0388124254e-05,2.5803640761e-05,3.28548467265e+28,3.42701324316e+28,2.97007814407e+28,1.28396590128e+53,1.13343390644e+53,1.43449789612e+53,1.50531994841e+52,1.39696705648e+53,1.23318682094e+53,1.56074729203e+53,1.63780235542e+52,1.04927747798e+53,9.26260323286e+52,1.17229463268e+53,1.23017154696e+52
bn100816026,100816A,36,0.804,2.048,G,N,2.10534592295e-06,1.9445030825e-06,2.2661887634e-06,4.31174845019e-06,3.98234231295e-06,4.64115458743e-06,1.60191348351e+28,1.67091898742e+28,1.4481297891e+28,7.70734608344e+51,7.1185252997e+51,8.29616686718e+51,5.88820783744e+50,8.38566550774e+51,7.74502292039e+51,9.02630809509e+51,6.40642587348e+50,6.29856653692e+51,5.81737277132e+51,6.77976030253e+51,4.81193765608e+50
bn100906576,100906A,37,1.727,110.592,G,N,3.07709178937e-07,2.84535844061e-07,3.30882513813e-07,3.4030173517e-05,3.14673880664e-05,3.65929589676e-05,4.10836009732e+28,4.2853356092e+28,3.71395752798e+28,2.64682906205e+53,2.44749845896e+53,2.84615966514e+53,1.99330603089e+52,2.87977507825e+53,2.66290149493e+53,3.09664866156e+53,2.16873583314e+52,2.16303105877e+53,2.00013490064e+53,2.32592721691e+53,1.62896158134e+52
bn110213220,110213A,41,1.46,34.304,G,N,4.67372479126e-07,4.41732693469e-07,4.93012264783e-07,1.60327455239e-05,1.51531983167e-05,1.69122927311e-05,3.34179222127e+28,3.48574634772e+28,3.02098016803e+28,9.14621790053e+52,8.64446164184e+52,9.64797415922e+52,5.01756258687e+51,9.95117166719e+52,9.40525610738e+52,1.0497087227e+53,5.45915559807e+51,7.4744356078e+52,7.0643923651e+52,7.8844788505e+52,4.10043242699e+51
bn111228657,111228A,45,0.716,101.3776979,G,N,2.41093675437e-07,2.26164973116e-07,2.56022377758e-07,2.4441521794e-05,2.29280843201e-05,2.5954959268e-05,1.38995190259e+28,1.44982675377e+28,1.25651651994e+28,3.45796320612e+52,3.24384351489e+52,3.67208289735e+52,2.14119691228e+51,3.76229670637e+52,3.52933245515e+52,3.9952609576e+52,2.32964251225e+51,2.82590285945e+52,2.65092082187e+52,3.00088489704e+52,1.74982037587e+51
bn120119170,120119A,46,1.728,55.296,G,N,8.40221247897e-07,8.05264695552e-07,8.75177800242e-07,4.64608741237e-05,4.45279166052e-05,4.83938316422e-05,4.11127937739e+28,4.28838064288e+28,3.71659655716e+28,3.61748595836e+53,3.46698412616e+53,3.76798779055e+53,1.50501832198e+52,3.93585897108e+53,3.77211155278e+53,4.09960638938e+53,1.63747418301e+52,2.95626740494e+53,2.83327489964e+53,3.07925991025e+53,1.22992505301e+52
bn120326056,120326A,47,1.798,11.776,G,N,3.71525196099e-07,3.49264496533e-07,3.93785895665e-07,4.37508070926e-06,4.11293871117e-06,4.63722270735e-06,4.3164509579e+28,4.50239038378e+28,3.90207166594e+28,3.66101783732e+52,3.44166039121e+52,3.88037528343e+52,2.1935744611e+51,3.98322206753e+52,3.74455908941e+52,4.22188504566e+52,2.38662978125e+51,2.99184235295e+52,2.81257993827e+52,3.17110476763e+52,1.7926241468e+51
bn120711115,120711A,48,1.405,44.032,G,N,7.84797842476e-06,7.74459298586e-06,7.95136386366e-06,0.000345562185999,0.000341009918353,0.000350114453645,3.18735316441e+28,3.32465453149e+28,2.88136726062e+28,1.83434647485e+54,1.81018168933e+54,1.85851126037e+54,2.41647855199e+52,1.99578633123e+54,1.96949481581e+54,2.02207784666e+54,2.62915154247e+52,1.49905728879e+54,1.47930943943e+54,1.51880513815e+54,1.97478493634e+52
bn120712571,120712A,49,4.1745,22.528,G,N,2.5073867465e-07,2.24619673769e-07,2.76857675531e-07,5.6486408625e-06,5.06023201064e-06,6.23704971436e-06,1.19140035188e+29,1.24272221319e+29,1.0770259181e+29,1.94715661421e+53,1.74432477986e+53,2.14998844857e+53,2.02831834356e+52,2.11852483088e+53,1.8978418748e+53,2.33920778696e+53,2.2068295608e+52,1.59124753964e+53,1.4254901193e+53,1.75700495999e+53,1.65757420345e+52
bn121128212,121128A,54,2.2,17.344,G,N,6.09020993944e-07,5.78679734683e-07,6.39362253205e-07,1.0562860119e-05,1.00366213184e-05,1.10890989196e-05,5.52298633533e+28,5.76089959285e+28,4.99277964714e+28,1.2652878908e+53,1.20225159432e+53,1.32832418727e+53,6.30362964761e+51,1.37664520424e+53,1.30806111689e+53,1.4452292916e+53,6.85840873594e+51,1.03401350897e+53,9.82499238905e+52,1.08552777903e+53,5.1514270061e+51
bn130925173,130925A,62,0.347,215.552,G,N,4.66244995168e-07,4.55008629719e-07,4.77481360617e-07,0.000100500041198,9.80780201527e-05,0.000102922062243,5.84505771282e+27,6.09684481429e+27,5.28393217239e+27,3.20321519077e+52,3.12601865918e+52,3.28041172236e+52,7.71965315863e+50,3.48512845386e+52,3.40113789664e+52,3.56911901108e+52,8.39905572206e+50,2.61771870534e+52,2.55463246458e+52,2.6808049461e+52,6.30862407568e+50
bn140206304,140206A,67,2.74,27.264,G,N,6.56989521884e-07,6.27030003315e-07,6.86949040453e-07,1.79121623246e-05,1.70953460103e-05,1.87289786389e-05,7.20571744442e+28,7.51611758049e+28,6.51396856976e+28,3.124933175e+53,2.98243243433e+53,3.26743391568e+53,1.42500740674e+52,3.39995687957e+53,3.24491472459e+53,3.55499903454e+53,1.55042154973e+52,2.55374538954e+53,2.43729150425e+53,2.67019927483e+53,1.16453885291e+52
bn140213807,140213A,68,1.2076,18.624,G,N,1.35912937924e-06,1.32369278072e-06,1.39456597776e-06,2.5312425559e-05,2.46524543482e-05,2.59723967698e-05,2.64432611663e+28,2.75823554935e+28,2.39047080943e+28,1.00751905967e+53,9.81250001723e+52,1.03378811761e+53,2.62690579444e+51,1.09619027556e+53,1.06760929182e+53,1.1247712593e+53,2.85809837446e+51,8.23360695865e+52,8.01893201408e+52,8.44828190322e+52,2.14674944571e+51
