# Different Cosmologies. 1) Concordance H0=67.8 OmegaM = 0.308, 2) Riess H0=67.8 OmegaM = 0.308, 3) Weyl Gravity H0=67.8 
trigger,name,number,z,t90,detector,LATburst,flux,flux_err_low,flux_err_up,fluence,fluence_err_low,fluence_err_up,DL1,DL2,DL3,eiso1,eiso1_err_low,eiso1_err_up,eiso1_err,eiso2,eiso2_err_low,eiso2_err_up,eiso2_err,eiso3,eiso3_err_low,eiso3_err_up,eiso3_err
bn100728439,100728B,34,2.106,10.24,G,N,3.59959639426e-07,2.95838596373e-07,4.24080682479e-07,3.68598670773e-06,3.02938722687e-06,4.34258618859e-06,5.23688978168e+28,4.76601864865e+28,6.4913887855e+28,4.08986567549e+52,3.36132162684e+52,4.81840972414e+52,7.28544048648e+51,3.38745591598e+52,2.78403491307e+52,3.99087691888e+52,6.03421002903e+51,6.28401798258e+52,5.16462085171e+52,7.40341511346e+52,1.11939713088e+52
bn100814160,100814A,35,1.44,150.528,G,N,1.53432467763e-07,1.3544406525e-07,1.71420870276e-07,2.30958825075e-05,2.0388124254e-05,2.5803640761e-05,3.28548467265e+28,3.14926248438e+28,3.68933380101e+28,1.28396590128e+53,1.13343390644e+53,1.43449789612e+53,1.50531994841e+52,1.17970200784e+53,1.04139389827e+53,1.31801011741e+53,1.3830810957e+52,1.61901361461e+53,1.42920066955e+53,1.80882655968e+53,1.89812945063e+52
bn100816026,100816A,36,0.804,2.048,G,N,2.10534592295e-06,1.9445030825e-06,2.2661887634e-06,4.31174845019e-06,3.98234231295e-06,4.64115458743e-06,1.60191348351e+28,1.60037957182e+28,1.65161317787e+28,7.70734608344e+51,7.1185252997e+51,8.29616686718e+51,5.88820783744e+50,7.69259281721e+51,7.10489914385e+51,8.28028649057e+51,5.87693673363e+50,8.19300887813e+51,7.56708474593e+51,8.81893301033e+51,6.259241322e+50
bn100906576,100906A,37,1.727,110.592,G,N,3.07709178937e-07,2.84535844061e-07,3.30882513813e-07,3.4030173517e-05,3.14673880664e-05,3.65929589676e-05,4.10836009732e+28,3.8563213559e+28,4.81344524724e+28,2.64682906205e+53,2.44749845896e+53,2.84615966514e+53,1.99330603089e+52,2.33203639815e+53,2.15641258158e+53,2.50766021471e+53,1.75623816563e+52,3.63329751493e+53,3.35967675293e+53,3.90691827693e+53,2.73620762004e+52
bn110213220,110213A,41,1.46,34.304,G,N,4.67372479126e-07,4.41732693469e-07,4.93012264783e-07,1.60327455239e-05,1.51531983167e-05,1.69122927311e-05,3.34179222127e+28,3.19873996358e+28,3.7635651331e+28,9.14621790053e+52,8.64446164184e+52,9.64797415922e+52,5.01756258687e+51,8.37993266163e+52,7.92021437085e+52,8.83965095242e+52,4.59718290782e+51,1.16006287686e+53,1.09642249399e+53,1.22370325972e+53,6.36403828624e+51
bn111228657,111228A,45,0.716,101.3776979,G,N,2.41093675437e-07,2.26164973116e-07,2.56022377758e-07,2.4441521794e-05,2.29280843201e-05,2.5954959268e-05,1.38995190259e+28,1.39572274074e+28,1.41941534965e+28,3.45796320612e+52,3.24384351489e+52,3.67208289735e+52,2.14119691228e+51,3.48673653496e+52,3.2708351775e+52,3.70263789243e+52,2.15901357464e+51,3.60611704004e+52,3.38282355161e+52,3.82941052847e+52,2.23293488427e+51
bn120119170,120119A,46,1.728,55.296,G,N,8.40221247897e-07,8.05264695552e-07,8.75177800242e-07,4.64608741237e-05,4.45279166052e-05,4.83938316422e-05,4.11127937739e+28,3.85876669316e+28,4.81758307546e+28,3.61748595836e+53,3.46698412616e+53,3.76798779055e+53,1.50501832198e+52,3.18676410711e+53,3.05418202042e+53,3.31934619379e+53,1.32582086682e+52,4.96719602622e+53,4.76054087636e+53,5.17385117607e+53,2.06655149857e+52
bn120326056,120326A,47,1.798,11.776,G,N,3.71525196099e-07,3.49264496533e-07,3.93785895665e-07,4.37508070926e-06,4.11293871117e-06,4.63722270735e-06,4.3164509579e+28,4.02946624284e+28,5.11104049515e+28,3.66101783732e+52,3.44166039121e+52,3.88037528343e+52,2.1935744611e+51,3.19038626187e+52,2.99922767877e+52,3.38154484498e+52,1.91158583106e+51,5.13294802561e+52,4.82539684178e+52,5.44049920945e+52,3.07551183836e+51
bn120711115,120711A,48,1.405,44.032,G,N,7.84797842476e-06,7.74459298586e-06,7.95136386366e-06,0.000345562185999,0.000341009918353,0.000350114453645,3.18735316441e+28,3.06266329027e+28,3.56091093196e+28,1.83434647485e+54,1.81018168933e+54,1.85851126037e+54,2.41647855199e+52,1.69363375967e+54,1.67132265481e+54,1.71594486453e+54,2.23111048609e+52,2.28951354826e+54,2.25935261378e+54,2.31967448273e+54,3.01609344783e+52
bn120712571,120712A,49,4.1745,22.528,G,N,2.5073867465e-07,2.24619673769e-07,2.76857675531e-07,5.6486408625e-06,5.06023201064e-06,6.23704971436e-06,1.19140035188e+29,8.9170613511e+28,1.95119515738e+29,1.94715661421e+53,1.74432477986e+53,2.14998844857e+53,2.02831834356e+52,1.09075935266e+53,9.77136894805e+52,1.20438181052e+53,1.13622457858e+52,5.22260108983e+53,4.67857204182e+53,5.76663013784e+53,5.4402904801e+52
bn121128212,121128A,54,2.2,17.344,G,N,6.09020993944e-07,5.78679734683e-07,6.39362253205e-07,1.0562860119e-05,1.00366213184e-05,1.10890989196e-05,5.52298633533e+28,4.98491177511e+28,6.94156067088e+28,1.2652878908e+53,1.20225159432e+53,1.32832418727e+53,6.30362964761e+51,1.03075717627e+53,9.79405135811e+52,1.08210921673e+53,5.13520404571e+51,1.99873704566e+53,1.899160513e+53,2.09831357833e+53,9.95765326646e+51
bn130925173,130925A,62,0.347,215.552,G,N,4.66244995168e-07,4.55008629719e-07,4.77481360617e-07,0.000100500041198,9.80780201527e-05,0.000102922062243,5.84505771282e+27,5.95835299857e+27,5.80798016507e+27,3.20321519077e+52,3.12601865918e+52,3.28041172236e+52,7.71965315863e+50,3.32859507553e+52,3.24837692608e+52,3.40881322498e+52,8.02181494476e+50,3.16270552416e+52,3.08648526347e+52,3.23892578485e+52,7.62202606923e+50
bn140206304,140206A,67,2.74,27.264,G,N,6.56989521884e-07,6.27030003315e-07,6.86949040453e-07,1.79121623246e-05,1.70953460103e-05,1.87289786389e-05,7.20571744442e+28,6.17729200331e+28,9.78903222726e+28,3.124933175e+53,2.98243243433e+53,3.26743391568e+53,1.42500740674e+52,2.2965850867e+53,2.19185802293e+53,2.40131215046e+53,1.04727063764e+52,5.7672103866e+53,5.50421860223e+53,6.03020217096e+53,2.62991784364e+52
bn140213807,140213A,68,1.2076,18.624,G,N,1.35912937924e-06,1.32369278072e-06,1.39456597776e-06,2.5312425559e-05,2.46524543482e-05,2.59723967698e-05,2.64432611663e+28,2.57511361052e+28,2.87198371437e+28,1.00751905967e+53,9.81250001723e+52,1.03378811761e+53,2.62690579444e+51,9.55467744919e+52,9.30555821602e+52,9.80379668237e+52,2.49119233174e+51,1.18846716569e+53,1.15748024536e+53,1.21945408603e+53,3.09869203377e+51
