trigger,name,number,z,t90,detector,LATburst,flux,flux_ci_lo,flux_ci_up,fluence,fluence_ci_lo,fluence_ci_up,DL1,DL2,DL3,eiso1,eiso1_ci_lo,eiso1_ci_up,eiso1_err,eiso2,eiso2_ci_lo,eiso2_ci_up,eiso2_err,eiso3,eiso3_ci_lo,eiso3_ci_up,eiso3_err
bn100816026,GRB100816A,36,0.804,2.048,G,N,2.10534592295e-06,1.944503082499e-06,2.266188763401e-06,4.3117484501900004e-06,3.9823423129459996e-06,4.6411545874340005e-06,1.6019134835134962e+28,1.6709189874186932e+28,1.4481297890962006e+28,7.707346083439976e+51,7.118525299695793e+51,8.296166867184157e+51,5.888207837441831e+50,8.385665507739699e+51,7.745022920391388e+51,9.026308095088007e+51,6.406425873483102e+50,6.298566536924484e+51,5.8173727713161975e+51,6.779760302532768e+51,4.8119376560828634e+50
bn100906576,GRB100906A,37,1.7269999999999999,110.59200000000001,G,N,3.07709178937e-07,2.845358440613e-07,3.308825138127e-07,3.4030173517e-05,3.146738806643e-05,3.659295896757e-05,4.108360097319729e+28,4.285335609204271e+28,3.7139575279770354e+28,2.646829062049687e+53,2.4474984589606914e+53,2.8461596651386827e+53,1.9933060308899565e+52,2.8797750782467414e+53,2.662901494932275e+53,3.0966486615612074e+53,2.1687358331446643e+52,2.1630310587719976e+53,2.000134900638021e+53,2.3259272169059746e+53,1.628961581339766e+52
bn110213220,GRB110213A,41,1.46,34.304,G,N,4.6737247912600004e-07,4.417326934693e-07,4.930122647827001e-07,1.60327455239e-05,1.5153198316732999e-05,1.6912292731067e-05,3.3417922212672877e+28,3.485746347721878e+28,3.0209801680256276e+28,9.146217900531676e+52,8.644461641844634e+52,9.647974159218716e+52,5.017562586870416e+51,9.951171667190536e+52,9.405256107383922e+52,1.0497087226997147e+53,5.459155598066139e+51,7.474435607800891e+52,7.064392365101702e+52,7.884478850500079e+52,4.100432426991889e+51
bn111228657,GRB111228A,45,0.716,101.3776979,G,N,2.41093675437e-07,2.261649731159e-07,2.5602237775809997e-07,2.4441521794e-05,2.292808432005e-05,2.595495926795e-05,1.3899519025850508e+28,1.44982675377333e+28,1.2565165199368858e+28,3.457963206120546e+52,3.2438435148921615e+52,3.672082897348931e+52,2.1411969122838472e+51,3.762296706372349e+52,3.5293324551471916e+52,3.9952609575975056e+52,2.3296425122515755e+51,2.825902859453008e+52,2.650920821866112e+52,3.000884897039904e+52,1.7498203758689596e+51
bn120119170,GRB120119A,46,1.7280000000000002,55.29600000000001,G,N,8.402212478970002e-07,8.052646955521998e-07,8.751778002418001e-07,4.64608741237e-05,4.452791660524e-05,4.839383164216e-05,4.111279377393575e+28,4.288380642881298e+28,3.7165965571637915e+28,3.6174859583565136e+53,3.466984126158703e+53,3.7679877905543244e+53,1.5050183219781041e+52,3.935858971079658e+53,3.7721115527790234e+53,4.099606389380293e+53,1.6374741830063457e+52,2.9562674049442775e+53,2.8332748996429115e+53,3.0792599102456435e+53,1.2299250530136602e+52
bn120711115,GRB120711A,48,1.405,44.032,G,N,7.847978424760001e-06,7.744592985859001e-06,7.951363863661e-06,0.000345562185999,0.00034100991835331,0.00035011445364469,3.1873531644057602e+28,3.3246545314878537e+28,2.8813672606228063e+28,1.834346474850162e+54,1.810181689330284e+54,1.8585112603700397e+54,2.4164785519878e+52,1.99578633123082e+54,1.9694948158061583e+54,2.0220778466554813e+54,2.6291515424661646e+52,1.4990572887911488e+54,1.4793094394277364e+54,1.518805138154561e+54,1.9747849363412415e+52
bn120712571,GRB120712A,49,4.1745,22.528000000000002,G,N,2.5073867465e-07,2.2461967376849998e-07,2.768576755315e-07,5.6486408625e-06,5.0602320106419994e-06,6.237049714358001e-06,1.1914003518822904e+29,1.2427222131941429e+29,1.0770259181015905e+29,1.9471566142137994e+53,1.7443247798581323e+53,2.1499884485694673e+53,2.0283183435566718e+52,2.1185248308834466e+53,1.8978418748030904e+53,2.3392077869638035e+53,2.2068295608035625e+52,1.5912475396413445e+53,1.4254901192965436e+53,1.7570049599861458e+53,1.6575742034480089e+52
bn121128212,GRB121128A,54,2.2,17.344,G,N,6.090209939439999e-07,5.786797346828999e-07,6.393622532051e-07,1.0562860119e-05,1.0036621318375999e-05,1.1089098919624001e-05,5.522986335332186e+28,5.760899592854187e+28,4.992779647140295e+28,1.2652878907974182e+53,1.2022515943212758e+53,1.3283241872735606e+53,6.303629647614239e+51,1.376645204244545e+53,1.3080611168851626e+53,1.4452292916039273e+53,6.858408735938238e+51,1.0340135089659026e+53,9.824992389048553e+52,1.0855277790269499e+53,5.151427006104726e+51
bn130925173,GRB130925A,62,0.34700000000000003,215.55200000000002,G,N,4.66244995168e-07,4.5500862971870004e-07,4.774813606173001e-07,0.000100500041198,9.807802015267e-05,0.00010292206224333,5.84505771281717e+27,6.096844814292371e+27,5.283932172386721e+27,3.203215190770526e+52,3.126018659184215e+52,3.2804117223568373e+52,7.719653158631122e+50,3.485128453855996e+52,3.401137896635353e+52,3.5691190110766397e+52,8.399055722064348e+50,2.617718705340726e+52,2.554632464583887e+52,2.680804946097565e+52,6.308624075683879e+50
bn140206304,GRB140206A,67,2.74,27.264,G,N,6.56989521884e-07,6.27030003315e-07,6.869490404530001e-07,1.79121623246e-05,1.7095346010335e-05,1.8728978638864998e-05,7.205717444423132e+28,7.516117580490589e+28,6.513968569758512e+28,3.1249331750012763e+53,2.9824324343272454e+53,3.2674339156753062e+53,1.4250074067403082e+52,3.3999568795675406e+53,3.244914724594757e+53,3.554999034540324e+53,1.550421549727838e+52,2.553745389541843e+53,2.437291504251174e+53,2.6701992748325115e+53,1.1645388529066892e+52
bn140213807,GRB140213A,68,1.2076,18.624000000000002,G,N,1.35912937924e-06,1.3236927807215001e-06,1.3945659777584999e-06,2.5312425558999997e-05,2.4652454348191e-05,2.5972396769808992e-05,2.6443261166304e+28,2.7582355493467864e+28,2.390470809433882e+28,1.007519059667086e+53,9.812500017227277e+52,1.0337881176114442e+53,2.6269057944358288e+51,1.0961902755597744e+53,1.0676092918151722e+53,1.1247712593043766e+53,2.8580983744602187e+51,8.233606958648976e+52,8.018932014078409e+52,8.448281903219543e+52,2.1467494457056767e+51
