trigger,name,number,z,t90,detector,LATburst,flux,flux_ci_lo,flux_ci_up,fluence,fluence_ci_lo,fluence_ci_up,DL1,DL2,DL3,eiso1,eiso1_ci_lo,eiso1_ci_up,eiso1_err,eiso2,eiso2_ci_lo,eiso2_ci_up,eiso2_err,eiso3,eiso3_ci_lo,eiso3_ci_up,eiso3_err
bn130518580,GRB130518A,58,2.49,48.577,L,Y,2.35414355785e-06,2.3164310273906003e-06,2.3918560883094003e-06,0.00011435723161,0.00011252527001787,0.00011618919320213,6.41893613286999e+28,5.639427562258323e+28,8.415435949971096e+28,1.696579361036368e+54,1.6694007717712945e+54,1.723757950301442e+54,2.717858926507353e+52,1.3095380309301727e+54,1.2885597041350719e+54,1.3305163577252736e+54,2.0978326795100788e+52,2.9160925824500107e+54,2.869377831358778e+54,2.9628073335412436e+54,4.671475109123259e+52
bn131108862,GRB131108A,65,2.4,18.496,L,Y,2.3442647341e-06,2.3058563694326003e-06,2.3826730987674e-06,4.33595205219e-05,4.2649119409012e-05,4.4069921634788e-05,6.138846383442763e+28,5.439793501979877e+28,7.944285568867504e+28,6.0393326263039965e+53,5.940384377633668e+53,6.138280874974325e+53,9.894824867032844e+51,4.7422041457056095e+53,4.664508012028352e+53,4.8199002793828675e+53,7.769613367725795e+51,1.01140503717094e+54,9.94834206697299e+53,1.0279758676445811e+54,1.6570830473640995e+52
bn131231198,GRB131231A,66,0.642,31.232,L,Y,5.54758407497e-06,5.4996319958128e-06,5.5955361541272e-06,0.00017326214582900006,0.00017176450649276004,0.00017475978516524003,1.2169328945422757e+28,1.2269231321349122e+28,1.2336602998651161e+28,1.9636933124998444e+53,1.9467195855784792e+53,1.9806670394212092e+53,1.6973726921365225e+51,1.9960669749367163e+53,1.9788134172993472e+53,2.0133205325740844e+53,1.7253557637369006e+51,2.0180484005448763e+53,2.000604840368292e+53,2.0354919607214598e+53,1.7443560176584327e+51
bn081221681,GRB081221,9,2.26,29.695999999999998,G,N,9.76519155077e-07,9.596440215741998e-07,9.933942885798001e-07,2.89987128292e-05,2.8497588864701e-05,2.9499836793699e-05,5.706753556584883e+28,5.122968018876753e+28,7.235963683810134e+28,3.640400970611513e+53,3.5774915519244226e+53,3.7033103892986037e+53,6.290941868709056e+51,2.9336903656577725e+53,2.8829935448950732e+53,2.9843871864204717e+53,5.069682076269923e+51,5.852800787752704e+53,5.751659100828306e+53,5.953942474677104e+53,1.0114168692439862e+52
bn081222204,GRB081222,10,2.77,18.88,G,N,7.18913321677e-07,6.763336277370999e-07,7.614930156169e-07,1.35730835133e-05,1.2769178891714999e-05,1.4376988134885001e-05,7.300945023861553e+28,6.240226813278936e+28,9.960269679062433e+28,2.411599535257268e+53,2.268765667779339e+53,2.5544334027351976e+53,1.4283386747792918e+52,1.7617642200287588e+53,1.6574187043442485e+53,1.8661097357132693e+53,1.043455156845103e+52,4.488375981723724e+53,4.222539100105542e+53,4.754212863341905e+53,2.658368816181819e+52
bn090424592,GRB090424,16,0.544,14.144,G,N,3.73773642115e-06,3.6531070528161e-06,3.8223657894839e-06,5.28665439408e-05,5.166954615508e-05,5.406354172652e-05,9.959481341468048e+27,1.0089525198402434e+28,1.0011257895286163e+28,4.267926510965561e+52,4.171292643827164e+52,4.364560378103957e+52,9.663386713839675e+50,4.3801092881734546e+52,4.2809353923911557e+52,4.479283183955754e+52,9.917389578229889e+50,4.3124173678329945e+52,4.2147761441854466e+52,4.4100585914805425e+52,9.764122364754792e+50
bn090618353,GRB090618,19,0.54,112.384,G,N,2.8624804033e-06,2.8206285281310007e-06,2.904332278469e-06,0.000321696997644,0.00031699351650501005,0.00032640047878299,9.871401768925711e+27,1.0002081588213672e+28,9.919625323359734e+27,2.557960343496545e+53,2.5205608081635027e+53,2.595359878829587e+53,3.7399535333042077e+51,2.6261343270617694e+53,2.5877380306516355e+53,2.664530623471903e+53,3.839629641013392e+51,2.583013572153203e+53,2.5452477375095666e+53,2.62077940679684e+53,3.7765834643636633e+51
bn090926914,GRB090926B,22,1.24,55.552,G,N,1.6900191563499998e-07,1.589841306651e-07,1.7901970060489994e-07,9.38839441733e-06,8.831886426682001e-06,9.944902407978e-06,2.7321651629699978e+28,2.6549225040594463e+28,2.980931079616648e+28,3.9315795837679207e+52,3.698530634503854e+52,4.164628533031987e+52,2.3304894926406644e+51,3.7124179999299013e+52,3.492360108266034e+52,3.932475891593768e+52,2.200578916638671e+51,4.680120578468382e+52,4.4027009917596995e+52,4.957540165177065e+52,2.7741958670868247e+51
bn091127976,GRB091127,27,0.49,8.704,G,N,2.8978603432e-06,2.848956052652e-06,2.946764633748e-06,2.52229764272e-05,2.4797313482270002e-05,2.5648639372129997e-05,8.785331363494429e+27,8.920244722127985e+27,8.796053525973713e+27,1.6418603808183087e+52,1.6141523453737152e+52,1.6695684162629025e+52,2.770803544459356e+50,1.6926745636232454e+52,1.6641089880402232e+52,1.7212401392062676e+52,2.8565575583022217e+50,1.6458704825954167e+52,1.6180947726740682e+52,1.6736461925167655e+52,2.777570992134852e+50
bn100615083,GRB100615A,31,1.3980000000000001,37.376,G,N,3.40987803297e-07,3.165618793594001e-07,3.6541372723459997e-07,1.2744760136e-05,1.1831816802908e-05,1.3657703469091999e-05,3.167790069086771e+28,3.045343213329164e+28,3.5354527805645037e+28,6.702011017019936e+52,6.221926950234366e+52,7.182095083805504e+52,4.8008406678557015e+51,6.193909303946817e+52,5.750222004658852e+52,6.637596603234781e+52,4.4368729928796466e+51,8.347999874045407e+52,7.750008954770674e+52,8.945990793320139e+52,5.979909192747328e+51
